OCC_source,OCC_target,out_degree,trans_prob_cc,trans_prob_cc_in
11-3010,13-1110,20,0.0032075000000000003,0.004271442187628334
11-3010,17-2050,20,0.0032075000000000003,0.003836663274152748
11-3010,33-9030,20,0.0032075000000000003,0.004038001061223777
11-3020,11-9190,5,0.012830000000000001,0.004158834734174855
11-3020,13-1190,5,0.012830000000000001,0.004254854649736996
11-3020,13-1110,5,0.012830000000000001,0.004271442187628334
11-3020,25-1000,5,0.012830000000000001,0.004949767642296939
11-3020,17-2060,5,0.012830000000000001,0.006754832691848669
11-3030,13-2052,19,0.003376315789473684,0.0036943231239864372
11-3030,13-2010,19,0.003376315789473684,0.0035678032294789263
11-3030,13-2060,19,0.003376315789473684,0.0035634832377223332
11-3030,13-2051,19,0.003376315789473684,0.003683149301630984
11-3030,11-1020,19,0.003376315789473684,0.003901763100603517
11-3030,13-2099,19,0.003376315789473684,0.003910696286324022
11-3030,41-3030,19,0.003376315789473684,0.0035969726853899452
11-3030,11-1010,19,0.003376315789473684,0.003999322592347167
11-3030,13-2040,19,0.003376315789473684,0.0035821424859035916
11-3030,43-4040,19,0.003376315789473684,0.0035897577708440833
11-3030,13-2070,19,0.003376315789473684,0.0036465842596175896
11-3030,43-4010,19,0.003376315789473684,0.003628422556659725
11-3030,11-9190,19,0.003376315789473684,0.004158834734174855
11-3030,13-1190,19,0.003376315789473684,0.004254854649736996
11-3030,15-2090,19,0.003376315789473684,0.004262290737835435
11-3030,13-1110,19,0.003376315789473684,0.004271442187628334
11-3030,43-3030,19,0.003376315789473684,0.0037473607212790646
11-3030,13-2030,19,0.003376315789473684,0.0037207821398539923
11-3030,43-1010,19,0.003376315789473684,0.004079653803568041
11-3050,11-1020,19,0.003376315789473684,0.003901763100603517
11-3050,19-4090,19,0.003376315789473684,0.004249118536750644
11-3050,11-3070,19,0.003376315789473684,0.0037581100236697387
11-3050,13-1040,19,0.003376315789473684,0.003816126059653174
11-3050,11-9020,19,0.003376315789473684,0.0036702520512253483
11-3050,17-2040,19,0.003376315789473684,0.004144885981095652
11-3050,51-8010,19,0.003376315789473684,0.003923590467850432
11-3050,11-9190,19,0.003376315789473684,0.004158834734174855
11-3050,49-9093,19,0.003376315789473684,0.0037208089579033364
11-3050,49-9099,19,0.003376315789473684,0.0037208089579033364
11-3050,11-9040,19,0.003376315789473684,0.004121004555149873
11-3050,17-2110,19,0.003376315789473684,0.004419238682021347
11-3050,51-8090,19,0.003376315789473684,0.004004528610677749
11-3050,17-3020,19,0.003376315789473684,0.004390182014608795
11-3050,13-1190,19,0.003376315789473684,0.004254854649736996
11-3050,17-2050,19,0.003376315789473684,0.003836663274152748
11-3050,17-2199,19,0.003376315789473684,0.004427441285837183
11-3050,19-4030,19,0.003376315789473684,0.003965446975467486
11-3050,43-5060,19,0.003376315789473684,0.0037879721656482487
11-3060,43-3060,13,0.0049346153846153845,0.0037485898888907783
11-3060,13-1020,13,0.0049346153846153845,0.003955151587725325
11-3060,11-3070,13,0.0049346153846153845,0.0037581100236697387
11-3060,11-2020,13,0.0049346153846153845,0.0039163433607175184
11-3060,13-1080,13,0.0049346153846153845,0.00423387753053846
11-3060,43-5060,13,0.0049346153846153845,0.0037879721656482487
11-3060,11-1020,13,0.0049346153846153845,0.003901763100603517
11-3060,11-3050,13,0.0049346153846153845,0.004082250208263475
11-3060,41-1010,13,0.0049346153846153845,0.004139690789819865
11-3060,13-1110,13,0.0049346153846153845,0.004271442187628334
11-3060,43-4150,13,0.0049346153846153845,0.0038571245012849944
11-3060,11-9190,13,0.0049346153846153845,0.004158834734174855
11-3060,13-1190,13,0.0049346153846153845,0.004254854649736996
11-3070,13-1080,17,0.003773529411764706,0.00423387753053846
11-3070,11-3050,17,0.003773529411764706,0.004082250208263475
11-3070,11-1020,17,0.003773529411764706,0.003901763100603517
11-3070,11-3060,17,0.003773529411764706,0.0038717496544276725
11-3070,11-9190,17,0.003773529411764706,0.004158834734174855
11-3070,13-1190,17,0.003773529411764706,0.004254854649736996
11-3070,19-3090,17,0.003773529411764706,0.004010649348111
11-3070,17-2110,17,0.003773529411764706,0.004419238682021347
11-3070,13-1020,17,0.003773529411764706,0.003955151587725325
11-3070,43-5030,17,0.003773529411764706,0.004080528838356011
11-3070,43-5060,17,0.003773529411764706,0.0037879721656482487
11-3070,43-3060,17,0.003773529411764706,0.0037485898888907783
11-3070,43-5010,17,0.003773529411764706,0.0036481702293771757
11-3070,41-4010,17,0.003773529411764706,0.003921371876924144
11-3070,13-1110,17,0.003773529411764706,0.004271442187628334
11-3070,11-2020,17,0.003773529411764706,0.0039163433607175184
11-3070,43-5070,17,0.003773529411764706,0.0038218004571374206
11-3110,13-1140,17,0.003773529411764706,0.0036940442499536924
11-3110,11-3120,17,0.003773529411764706,0.003829912670748584
11-3110,13-1070,17,0.003773529411764706,0.0037947327941880962
11-3110,13-2010,17,0.003773529411764706,0.0035678032294789263
11-3110,13-1040,17,0.003773529411764706,0.003816126059653174
11-3110,11-3030,17,0.003773529411764706,0.003625031168031906
11-3110,13-2060,17,0.003773529411764706,0.0035634832377223332
11-3110,13-2030,17,0.003773529411764706,0.0037207821398539923
11-3110,43-4160,17,0.003773529411764706,0.003722554789459644
11-3110,43-3050,17,0.003773529411764706,0.0038380008443998376
11-3110,43-4060,17,0.003773529411764706,0.0038979292374733874
11-3110,13-1110,17,0.003773529411764706,0.004271442187628334
11-3110,11-9110,17,0.003773529411764706,0.0039479105385641765
11-3110,43-1010,17,0.003773529411764706,0.004079653803568041
11-3110,11-1010,17,0.003773529411764706,0.003999322592347167
11-3110,11-9150,17,0.003773529411764706,0.00430535586604332
11-3110,11-9190,17,0.003773529411764706,0.004158834734174855
11-3120,43-4160,17,0.003773529411764706,0.003722554789459644
11-3120,13-1070,17,0.003773529411764706,0.0037947327941880962
11-3120,13-1110,17,0.003773529411764706,0.004271442187628334
11-3120,11-3130,17,0.003773529411764706,0.0050817240790912484
11-3120,19-3030,17,0.003773529411764706,0.0051330882356431405
11-3120,13-1140,17,0.003773529411764706,0.0036940442499536924
11-3120,11-3110,17,0.003773529411764706,0.0037141887308651525
11-3120,11-9150,17,0.003773529411764706,0.00430535586604332
11-3120,13-1040,17,0.003773529411764706,0.003816126059653174
11-3120,11-1010,17,0.003773529411764706,0.003999322592347167
11-3120,43-1010,17,0.003773529411764706,0.004079653803568041
11-3120,13-1190,17,0.003773529411764706,0.004254854649736996
11-3120,11-9190,17,0.003773529411764706,0.004158834734174855
11-3120,43-3050,17,0.003773529411764706,0.0038380008443998376
11-3120,11-9110,17,0.003773529411764706,0.0039479105385641765
11-3120,43-4060,17,0.003773529411764706,0.0038979292374733874
11-3120,13-1150,17,0.003773529411764706,0.004734206669997434
11-3130,13-1150,14,0.004582142857142857,0.004734206669997434
11-3130,25-9030,14,0.004582142857142857,0.005255907725411078
11-3130,13-1110,14,0.004582142857142857,0.004271442187628334
11-3130,11-9150,14,0.004582142857142857,0.00430535586604332
11-3130,19-3030,14,0.004582142857142857,0.0051330882356431405
11-3130,13-1070,14,0.004582142857142857,0.0037947327941880962
11-3130,11-3120,14,0.004582142857142857,0.003829912670748584
11-3130,11-9030,14,0.004582142857142857,0.0049424188973221485
11-3130,11-9190,14,0.004582142857142857,0.004158834734174855
11-3130,13-1190,14,0.004582142857142857,0.004254854649736996
11-3130,21-1010,14,0.004582142857142857,0.005039422789119903
11-3130,25-1000,14,0.004582142857142857,0.004949767642296939
11-3130,25-2020,14,0.004582142857142857,0.005696505708716235
11-3130,25-2030,14,0.004582142857142857,0.00602702992600549
11-9010,17-2020,13,0.0049346153846153845,0.0038088676016965494
11-9010,45-1010,13,0.0049346153846153845,0.004300182351655463
11-9010,25-1000,13,0.0049346153846153845,0.004949767642296939
11-9010,13-1020,13,0.0049346153846153845,0.003955151587725325
11-9010,19-1030,13,0.0049346153846153845,0.003993020019523778
11-9010,19-1010,13,0.0049346153846153845,0.004198259702962586
11-9010,45-2090,13,0.0049346153846153845,0.0038199304133259243
11-9010,11-3050,13,0.0049346153846153845,0.004082250208263475
11-9010,49-3040,13,0.0049346153846153845,0.003728763448410017
11-9010,45-2010,13,0.0049346153846153845,0.004081316353991832
11-9010,13-1070,13,0.0049346153846153845,0.0037947327941880962
11-9010,45-2020,13,0.0049346153846153845,0.003772908007670004
11-9010,51-8090,13,0.0049346153846153845,0.004004528610677749
11-9020,17-3020,16,0.004009375,0.004390182014608795
11-9020,47-1010,16,0.004009375,0.004006746727979623
11-9020,47-4010,16,0.004009375,0.003590603845472266
11-9020,49-9070,16,0.004009375,0.0036517726322118733
11-9020,11-9040,16,0.004009375,0.004121004555149873
11-9020,17-1010,16,0.004009375,0.0037016378837719296
11-9020,17-2050,16,0.004009375,0.003836663274152748
11-9020,17-2110,16,0.004009375,0.004419238682021347
11-9020,13-1190,16,0.004009375,0.004254854649736996
11-9020,11-1020,16,0.004009375,0.003901763100603517
